Longitude,Latitude,pH,EC,OC,N,P,K,S,Z,Fe,Cu,M,B
73.355,19.3169,6.93,0.173,1.09,763.61,22.92,228.17,16.55,0.88,52.03,3.24,52.32,0.17
73.355,19.3169,6.93,0.173,1.09,763.61,22.92,228.17,16.55,0.88,52.03,3.24,52.32,0.17
73.355,19.3169,6.93,0.173,1.09,763.61,22.92,228.17,16.55,0.88,52.03,3.24,52.32,0.17
73.355,19.3169,6.29,0.333,1.29,904.46,27.36,147.89,7.72,2.11,51.84,3.12,44.53,18
73.355,19.3169,6.29,0.333,1.29,904.46,27.36,147.89,7.72,2.11,51.84,3.12,44.53,18
73.355,19.3169,6.29,0.333,1.29,904.46,27.36,147.89,7.72,2.11,51.84,3.12,44.53,18
73.355,19.3169,6.29,0.333,1.29,904.46,27.36,147.89,7.72,2.11,51.84,3.12,44.53,18
73.355,19.3169,6.29,0.333,1.29,904.46,27.36,147.89,7.72,2.11,51.84,3.12,44.53,18
73.34167,19.3483,7.19,0.077,1.06,745.08,14.89,101.41,27.6,1.22,420.2,5.01,51.94,0.11
73.34167,19.3483,7.19,0.077,1.06,745.08,14.89,101.41,27.6,1.22,420.2,5.01,51.94,0.11
73.34167,19.3483,7.19,0.077,1.06,745.08,14.89,101.41,27.6,1.22,420.2,5.01,51.94,0.11
73.34167,19.3483,7.19,0.077,1.06,745.08,14.89,101.41,27.6,1.22,420.2,5.01,51.94,0.11
73.34222,19.1039,6.95,0.116,1.73,1210.89,19.01,1.06,13.63,1.12,44.7,4.42,46.66,0.18
73.34222,19.1039,6.48,0.105,0.84,586.93,36.44,121.48,13.04,0.72,43.46,2.29,16.28,0.21
73.34222,19.1039,7.05,0.096,1.33,932.87,31.58,173.24,18.56,1.24,48.45,5.77,16.74,0.15
73.34222,19.1033,7.23,0.532,0.25,153,8.55,489,0.87,0.26,0.22,1.25,0.11,0.36
73.34222,19.1033,7.23,0.532,0.25,153,8.55,489,0.87,0.26,0.22,1.25,0.11,0.36
73.34222,19.1033,7.53,0.082,1.33,932.87,24.93,89.79,5.95,2.19,42.24,2.76,54.8,0.06
73.34222,19.1033,8.31,0.078,0.97,679.57,20.92,144.72,6.84,1.39,67.46,4.42,65.37,0.11
73.34499,19.1022,6.8,0.315,1.65,1153.48,33.27,403.52,24.25,4.44,58.78,5.41,62.53,0.12
73.34424,19.111,6.63,0.052,1.69,1182.49,23.77,73.94,13.04,0.93,339.71,3.37,62.15,0.12
73.34424,19.111,6.63,0.052,1.69,1182.49,23.77,73.94,13.04,0.93,339.71,3.37,62.15,0.12
73.34424,19.111,6.63,0.052,1.69,1182.49,23.77,73.94,13.04,0.93,339.71,3.37,62.15,0.12
73.35108,19.3499,7.92,0.095,0.89,625.22,23.03,91.9,9.81,1.79,37.92,2.8,61.21,0.1
73.35108,19.3499,7.92,0.095,0.89,625.22,23.03,91.9,9.81,1.79,37.92,2.8,61.21,0.1
73.35108,19.3499,7.92,0.095,0.89,625.22,23.03,91.9,9.81,1.79,37.92,2.8,61.21,0.1
73.355,19.3169,6.93,0.118,0.55,385.51,28.1,33.8,11.29,1.54,28.74,2.25,61.21,0.17
73.355,19.3169,6.93,0.118,0.55,385.51,28.1,33.8,11.29,1.54,28.74,2.25,61.21,0.17
73.355,19.3169,6.93,0.118,0.55,385.51,28.1,33.8,11.29,1.54,28.74,2.25,61.21,0.17
73.355,19.3169,7.19,0.195,0.89,625.22,21.555,99.3,11.29,1.05,52.47,4.34,50.15,0.22
73.355,19.3169,7.19,0.195,0.89,625.22,21.555,99.3,11.29,1.05,52.47,4.34,50.15,0.22
73.355,19.3169,6.95,0.16,1.58,1105.24,22.92,127.82,16.84,2.51,0.02,3.56,52.8,0.24
73.355,19.3169,6.95,0.16,1.58,1105.24,22.92,127.82,16.84,2.51,0.02,3.56,52.8,0.24
73.355,19.3169,6.95,0.16,1.58,1105.24,22.92,127.82,16.84,2.51,0.02,3.56,52.8,0.24
73.34424,19.111,7.14,0.108,0.97,679.57,22.29,118.31,24.32,1.24,26.36,3.28,55.69,0.18
73.34424,19.111,7.14,0.108,0.97,679.57,22.29,118.31,24.32,1.24,26.36,3.28,55.69,0.18
73.34424,19.111,7.14,0.108,0.97,679.57,22.29,118.31,24.32,1.24,26.36,3.28,55.69,0.18
73.34424,19.111,7.14,0.108,0.97,679.57,22.29,118.31,24.32,1.24,26.36,3.28,55.69,0.18
73.34424,19.111,7.14,0.108,0.97,679.57,22.29,118.31,24.32,1.24,26.36,3.28,55.69,0.18
73.34424,19.111,6.72,0.132,1.53,1068.19,21.23,176.41,11.88,1.39,19.22,6.3,55.02,0.2
73.34424,19.111,6.72,0.132,1.53,1068.19,21.23,176.41,11.88,1.39,19.22,6.3,55.02,0.2
73.34424,19.111,6.72,0.132,1.53,1068.19,21.23,176.41,11.88,1.39,19.22,6.3,55.02,0.2
73.35108,19.3499,6.52,0.152,1.05,736.45,29.47,253.52,9.12,0.74,54.24,4.19,38.13,0.14
73.34424,19.111,6.03,0.073,1.58,1105.24,13.84,79.22,8.34,1.35,120.18,4.27,46.95,0.2
73.34424,19.111,6.03,0.073,1.58,1105.24,13.84,79.22,8.34,1.35,120.18,4.27,46.95,0.2
73.34424,19.111,6.03,0.073,1.58,1105.24,13.84,79.22,8.34,1.35,120.18,4.27,46.95,0.2
73.34424,19.111,6.48,0.115,0.85,596.82,18.49,212.32,14.21,1.09,45.62,3.66,52.24,0.16
73.34424,19.111,6.48,0.115,0.85,596.82,18.49,212.32,14.21,1.09,45.62,3.66,52.24,0.16
73.35532,19.3216,7,0.119,1.61,1124.42,15.84,159.51,18.86,1.14,50.59,2.38,53.31,0.17
73.35532,19.3216,7,0.119,1.61,1124.42,15.84,159.51,18.86,1.14,50.59,2.38,53.31,0.17
73.34167,19.1039,6.97,0.108,1.45,1018.1,36.55,87.68,12.46,1.35,30.57,5.31,36.28,0.12
73.34167,19.1039,6.97,0.108,1.45,1018.1,36.55,87.68,12.46,1.35,30.57,5.31,36.28,0.12
73.34167,19.1039,6.97,0.108,1.45,1018.1,36.55,87.68,12.46,1.35,30.57,5.31,36.28,0.12
73.34222,19.1039,6.9,0.166,1.69,1182.49,23.03,408.8,12.46,1.31,50.53,2.21,41.88,0.16
73.34222,19.1039,7.17,0.075,1.44,1008.21,15.21,1.06,18.56,1.54,43.04,4.02,56.05,0.13
73.34222,19.1039,6.39,0.058,1.33,932.87,932.87,39.93,253.52,16.26,0.15,5.92,33.69,1.16
73.34222,19.1039,6.39,0.058,1.33,932.87,932.87,39.93,253.52,16.26,0.15,5.92,33.69,1.16
73.34222,19.1039,6.72,0.109,1,698.09,27.68,2.11,13.63,0.44,20.3,3.03,44.32,0.15
73.34222,19.1039,6.72,0.109,1,698.09,27.68,2.11,13.63,0.44,20.3,3.03,44.32,0.15
73.34222,19.1039,6.72,0.109,1,698.09,27.68,2.11,13.63,0.44,20.3,3.03,44.32,0.15
73.34222,19.1039,7.08,0.177,1.31,914.35,29.05,1.06,12.46,0.72,25.67,3.45,50.26,0.1
73.34222,19.1039,7.08,0.177,1.31,914.35,29.05,1.06,12.46,0.72,25.67,3.45,50.26,0.1
73.34222,19.1039,6.37,0.287,1.45,1018.1,29.47,1.06,16.26,11.92,36.78,3.16,54.26,0.19
73.34222,19.1039,6.37,0.287,1.45,1018.1,29.47,1.06,16.26,11.92,36.78,3.16,54.26,0.19
73.34222,19.1039,6.37,0.287,1.45,1018.1,29.47,1.06,16.26,11.92,36.78,3.16,54.26,0.19
73.34222,19.1039,6.37,0.287,1.45,1018.1,29.47,1.06,16.26,11.92,36.78,3.16,54.26,0.19
73.34222,19.1039,6.37,0.287,1.45,1018.1,29.47,1.06,16.26,11.92,36.78,3.16,54.26,0.19
73.34222,19.1039,6.37,0.287,1.45,1018.1,29.47,1.06,16.26,11.92,36.78,3.16,54.26,0.19
73.34499,19.1022,7.12,0.212,1.77,1239.9,27.15,279.93,20.85,4.44,44.93,5.9,61.96,0.19
73.34499,19.1022,7.1,0.239,1.16,810.54,14.37,70.77,5.95,4.21,64.87,6.27,57.12,0.18
73.34499,19.1022,7.1,0.239,1.16,810.54,14.37,70.77,5.95,4.21,64.87,6.27,57.12,0.18
73.33028,19.1086,6.84,0.063,1.54,1076.83,22.29,31.69,8.34,2.67,270.95,2.8,48.72,0.18
73.34499,19.1022,6.94,0.079,0.71,495.48,12.68,98.24,19.42,1.37,103.8,4.02,48.87,0.22
73.34499,19.1022,6.94,0.079,0.71,495.48,12.68,98.24,19.42,1.37,103.8,4.02,48.87,0.22
73.33028,19.1086,6.95,0.089,0.92,642.52,12.25,143.66,7.72,1.37,37.65,3.22,59.9,0.08
73.34499,19.1022,7.13,0.118,1.45,1018.1,33.17,160.56,25.36,1.98,23.69,1.87,44.57,0.2
73.34499,19.1022,7.13,0.118,1.45,1018.1,33.17,160.56,25.36,1.98,23.69,1.87,44.57,0.2
73.34499,19.1022,7.13,0.118,1.45,1018.1,33.17,160.56,25.36,1.98,23.69,1.87,44.57,0.2
73.34499,19.1022,7.13,0.118,1.45,1018.1,33.17,160.56,25.36,1.98,23.69,1.87,44.57,0.2
73.34424,19.111,7,0.129,1.57,1096.01,10.88,244.01,24.53,2.8,96.41,3.68,56.91,0.08
73.34424,19.111,7,0.129,1.57,1096.01,10.88,244.01,24.53,2.8,96.41,3.68,56.91,0.08
73.34167,19.3483,6.31,0.229,0.133,932.87,24.08,269.36,16.26,0.99,55.52,4.27,16.04,0.14
73.34167,19.3483,6.31,0.229,0.133,932.87,24.08,269.36,16.26,0.99,55.52,4.27,16.04,0.14
